"Airline","Comments","Country","ICAO","Call sign"
"Aeroputul International Marculesti","","Moldova","AMM","AEROM"
"Aero Transporte S.A. (ATSA)","","Peru","AMP","ATSA"
"Aeromedicare Ltd.","No longer current","United Kingdom","AMQ","LIFELINE"
"Aircraft Management and Consulting","","Poland","AMQ","AMEX"
"ATA Airlines","defunct","United States","AMT","AMTRAN"
"AMC Airlines","Aircraft Maintenance Company","Egypt","AMV",""
"Aeroméxico","","Mexico","AMX","AEROMEXICO"
"Amiya Airline","","Nigeria","AMZ","AMIYA AIR"
"Anglo Cargo","Defunct, ICAO code no longer allocated","United Kingdom","ANC","ANGLO"
"AeroBratsk","","Russia","BRP","AEROBRA"
"Alajnihah for Air Transport","","Libya","ANH","ALAJNIHAH"
"Aerotransportacion de Norteamerica","","Mexico","ANM","NORAM"
"Antares Airtransport, Maintenance & Service GmbH","ICAO Code now allocated to an other user","Germany","ANM","ANTARES"
"Airnorth","","Australia","ANO","TOPEND"
"Aerolínea de Antioquia","","Colombia","ANQ","ANTIOQUIA"
"Andes Líneas Aéreas","","Argentina","ANS","AEROANDES"
"AOM French Airlines","defunct","France","AOM","French Lines"
"Aviación Del Noroeste, S.A. de C.V.","defunct","Mexico","ANW","AVINOR"
"Avia Jaynar","","Kazakhstan","SAP","TOBOL"
"Aero Servicios Empresariales","","Mexico","EMS","SERVIEMPRESARIAL"
"Alcon Servicios Aéreos, S.A. de C.V.","","Mexico","AOA","ALCON"
"AVCOM","","Russia","AOC","AERO AVCOM"
"Aero Vodochody","","Czech Republic","AOD","AERO CZECH"
"Atair Pty Ltd.","","South Africa","AOF","ATAIR"
"Aero VIP","defunct","Argentina","AOG","AVIP"
"Aeromundo Ejecutivo","","Mexico","MUN","AEROMUNDO"
"Aerolínea Muri","","Mexico","MUR","MURI"
"Astoria, Inc.","defunct","Canada","AOI","ASTORIA"
"Aero Rent JSC","defunct","Russia","NRO","AEROMASTER"
"Aeronord-Grup","","Moldova","NRP","AERONORD"
"Aeroatlantico Colombia","defunct","Colombia","AOK",""
"Angkor Airlines","defunct","Cambodia","AOL","ANGKOR AIR"
"Aero Entreprise","","France","AON","AERO ENTERPRISE"
"As, Opened Joint Stock Company","","Ukraine","AOO","COMPANY AS"
"Aeropiloto","","Portugal","AOP","AEROPILOTO"
"Aeroenlaces Nacionales","Former ICAO code: AEN","Mexico","VIV","AEROENLACES"
"Aerovis Airlines","","Ukraine","VIZ","AEROVIZ"
"AvJet Routing","","United Arab Emirates","VJE",""
"Aerovista Gulf Express","","United Arab Emirates","VGF","VISTA GULF"
"Almaver","","Mexico","VER","ALMAVER"
"Afro International Ent. Limited","","Nigeria","AOR","INTER-AFRO"
"Alitalia Express","","Italy","SMX","ALIEXPRESS"
"Asia Overnight Express","","Philippines","AOT","ASIA OVERNIGHT"
"Aero Vision","","France","AOV","AEROVISION"
"Aerotaxi Del Valle","","Colombia","AOX","AEROVALLE"
"Airpac Airlines, Inc.","","United States","APC","AIRPAC"
"Aeroservicios Monterrey","","Mexico","SVM","SERVIMONTE"
"Amapola Flyg AB","","Sweden","APF","AMAPOLA"
"Alpha Aviation, Inc.","","United States","APH","AIRFLIGHT"
"ASA Pesada, Lda.","","Angola","API","ASA PESADA"
"Air Print, S.A.","","Luxembourg","APJ","AIR PRINT"
"Aerotransporte Petrolero","","Colombia","PET","AEROPETRO"
"Aero Flight","defunct","Germany","ARF","Aero Fox"
"ACM Aviation","","United States","BJT","BAY JET"
"Aircompany Barcol","","Russia","BKL","BARCOL"
"All Charter Limited","ICAO code no longer allocated","United Kingdom","BLA","ALL CHARTER"
"Appalachian Flying Service, Inc.","","United States","APL","APPALACHIAN"
"Airpac, Inc.","","United States","APM","ALASKA PACIFIC"
"Aeropro","defunct","Canada","APO","AEROPRO"
"Aerolíneas Pacífico Atlántico, S.A. (Apair)","","Panama","APP","AEROPERLAS"
"Aspen Aviation","","United States","APQ","ASPEN BASE"
"Aeropuma, S.A.","","El Salvador","APU","AEROPUMA"
"Arrow Air","defunct","United States","APW","BIG A"
"Apex Air Cargo","","United States","APX","PARCEL EXPRESS"
"APA Internacional","","Dominican Republic","APY","APA INTERNACIONAL"
"Aeroatlas, S.A.","","Colombia","AQA","ATCO"
"Aquila Air Ltd.","","Canada","AQL","AQUILA"
"Aluminum Company Of America","Alcoa Aircraft Operations","United States","AQO","ALCOA SHUTTLE"
"Aviones de Renta de Quintana Roo, S.A. de C.V.","","Mexico","AQT","AVIOQUINTANA"
"AirQuarius Aviation","defunct","South Africa","AQU","QUARIUS"
"Aerodyne Charter Company","","United States","AQZ","QUANZA"
"Arik Air","","Nigeria","ARA","ARIK AIR"
"Avia Air N.V.","","Aruba","ARB","AVIAIR"
"Aerocondor","defunct","Portugal","ARD","AEROCONDOR"
"Aires, Aerovías de Integración Regional, S.A.","renamed to LAN Colombia","Colombia","ARE","AIRES"
"Aerolíneas Argentinas","","Argentina","ARG","ARGENTINA"
"Arrowhead Airways","","United States","ARH","ARROWHEAD"
"Aero Vics","","Mexico","ARI","AEROVICS"
"Aerojet de Costa Rica, S.A.","","Costa Rica","ARJ",""
"Antillana De Navegación Aérea","","Dominican Republic","SUN",""
"Aeroservicios De San Luis","","Mexico","SUO","SERVICIO SANLUIS"
"Aerosuper","","Mexico","SUP","AEROSUPER"
"Aero Link Air Services S.L.","","Spain","ARK","LINK SERVICE"
"Airlec - Air Aquitaine Transport","","France","ARL","AIRLEC"
"Aeromarket Express","defunct","Spain","ARM","AMEX"
"Arrow Aviation Ltd.","defunct","Canada","ARO","ARROW"
"Air Klaipėda","","Lithuania","KLD","AIR KLAIPEDA"
"Armstrong Air, Inc.","","Canada","ARQ","ARMSTRONG"
"Aeromet Servicios","","Chile","ARS","METSERVICE"
"Aerotal Aerolíneas Territoriales de Colombia Ltda.","","Colombia","ART","AEROTAL"
"Aravco Ltd.","","United Kingdom","ARV","ARAVCO"
"Aria","","France","ARW","ARIABIRD"
"Airline Alania","","Russia","OST","ALANIA"
"Aerolíneas de Techuacán","","Mexico","HUC","LINEAS TEHUACAN"
"Aerotransportes Huitzilin","","Mexico","HUT","AEROHUITZILIN"
"Aero Transportes Del Humaya","","Mexico","HUY","AERO HUMAYA"
"Argosy Airways","","United States","ARY","GOSEY"
"Alaska Airlines, Inc.","","United States","ASA","ALASKA"
"Airstars","defunct","Russia","ASE","MOROZOV"
"Air Schefferville, Inc.","","Canada","ASF","SCHEFF"
"African Star Airways (PTY) Ltd.","","South Africa","ASG","AFRICAN STAR"
"Aerosun International, Inc.","","United States","ASI","AEROSUN"
"Awesome Flight Services (PTY) Ltd.","","South Africa","ASM","AWESOME"
"Aero Slovakia","","Slovakia","ASO","AERO NITRA"
"Airsprint","","Canada","ASP","AIRSPRINT"
"All Star Airlines, Inc.","","United States","ASR","ALL STAR"
"Aerolíneas Del Oeste","","Mexico","AST","AEROESTE"
"Aviones Are","","Mexico","NRE","AVIONES ARE"
"Arrow Panama","","Panama","WAP","ARROW PANAMA"
"Astravia-Bissau Air Transports Ltd.","","Guinea-Bissau","ASV","ASTRAVIA"
"Astrakhan Airlines","defunct","Russia","ASZ","AIR ASTRAKHAN"
"Atlantair Ltd.","","Canada","ATB","STARLITE"
"Aerotours Dominicana","","Dominican Republic","ATD","AEROTOURS"
"Atlantis Transportation Services, Ltd.","","Canada","ATE","ATLANTIS CANADA"
"Aerotrans Airline","","Kazakhstan","ATG","BACHYT"
"Aero-Tropics Air Services","defunct","Australia","ATI",""
"AeroTACA","defunct, Aerotaxi Casanare","Colombia","ATK","AEROTACA"
"Airlines of Tasmania","","Australia","ATM","AIRTAS"
"Air Corporate","","Italy","CPV","AIRCORPORATE"
"ASTRAL Colombia - Aerotransportes Especiales Ltda.","","Colombia","ATP","ASTRAL"
"Aeroferinco","","Mexico","FEO","FERINCO"
"Aero Taxis Y Servicios Alfe","","Mexico","FES","AERO ALFE"
"Avialesookhrana","","Russia","FFA","AVIALESOOKHRANA"
"Africair Service","","Senegal","FFB","FOXTROT FOXTROT"
"Atlas Airlines","","United States","ATR","ATLAS-AIR"
"Aer Turas","defunct","Ireland","ATT","AERTURAS"
"Atlant Aerobatics Ltd.","","Hungary","ATU","ATLANT HUNGARY"
"Avanti Air","","Germany","ATV","AVANTI AIR"
"Aero Trades (Western) Ltd.","defunct, ICAO code no longer allocated","Canada","ATW","AERO TRADES"
"Austrian Airlines","","Austria","AUA","AUSTRIAN"
"Augsburg Airways","defunct","Germany","AUB","AUGSBURG-AIR"
"Aviastar-Tu","","Russia","TUP","TUPOLEVAIR"
"AirBridge Cargo","Former IATA: BO","Russia","ABW","AIRBRIDGE CARGO"
"ATUR","","Ecuador","TUR",""
"ATESA Aerotaxis Ecuatorianos","","Ecuador","TXU","ATESA"
"Austin Express","defunct","United States","TXX","COWBOY"
"Audi Air, Inc.","","United States","AUD","AUDI AIR"
"Augusta Air Luftfahrtunternehmen","","Germany","AUF","AUGUSTA"
"Abu Dhabi Amiri Flight","Presidential flight","United Arab Emirates","AUH","SULTAN"
"Air Atlantic Uruguay","","Uruguay","AUM","ATLAMUR"
"Aviones Unidos","","Mexico","AUN","AVIONES UNIDOS"
"Avia Business Group","","Russia","AUP",""
"Aero Servicios Expecializados","","Mexico","SVE","AEROESPECIAL"
"Aurigny Air Services","","United Kingdom","AUR","AYLINE"
"Aus-Air","defunct","Australia","AUS",""
"Austral Líneas Aéreas","","Argentina","AUT","AUSTRAL"
"Aurora Aviation, Inc.","ICAO code no longer allocated","United States","AUU","AURORA AIR"
"Aerolíneas Uruguayas, S.A.","","Uruguay","AUY","AUSA"
"Australian Airlines","Subsidiary merged with QANTAS","Australia","AUZ","AUSTRALIAN"
"Avianca - Aerovías del Continente Americano S.A.","","Colombia","AVA","AVIANCA"
"Aviation Beauport","","United Kingdom","AVB","BEAUPAIR"
"Aviair Aviation Ltd.","","Canada","AVF","CARIBOO"
"AV8 Helicopters","","United Kingdom","AVH","KENT HELI"
"Avia Traffic Company","","Kyrgyzstan","AVJ","ATOMIC"
"AV8 Helicopters","","South Africa","AVK","AVIATE-COPTER"
"Aviación Ejecutiva Mexicana, S.A.","","Mexico","AVM","AVEMEX"
"Aviation at Work","","South Africa","AVO","AVIATION WORK"
"Avcorp Registrations","No longer used","United Kingdom","AVP","AVCORP"
"Aviacion Corporativa de Peubla","","Mexico","AVP","AVIA PUEBLA"
"Alfa Aerospace","","Australia","LFP","ALFA-SPACE"
"Atlantic Airfreight Aviation","","São Tomé and Príncipe","LFR","LANFREIGHT"
"Aerolift Company","defunct","Sierra Leone","LFT","LIFTCO"
"Aviation Services, Inc.","","United States","AVQ","AQUILINE"
"Active Aero Charter, Inc.","","United States","AVR","ACTIVE AERO"
"Avialsa T-35","","Spain","AVS","AVIALSA"
"Asia Avia Airlines","defunct","Indonesia","AVT","ASIAVIA"
"Avia Sud Aérotaxi","","France","AVU","AVIASUD"
"Airvantage Incorporated","","United States","AVV","AIRVANTAGE"
"Aviator Airways","","Greece","AVW","AVIATOR"
"Aviapaslauga","defunct","Lithuania","AVX","PASLAUGA"
"ASL (Air Service Liege)","","Belgium","XXX",""
"Air Yugoslavia","defunct; operations continue under Jat Airways","Serbia","YRG","YUGAIR"
"Airlink Zambia","Zambia Skyways Limited","Zambia","ZAK",""
"Agence Nationale des Aerodromes et de la Meteorologie","","Ivory Coast","ZZM",""
"Airbus Transport International","","France","BGA","BELUGA"
"Air Bangladesh","defunct","Bangladesh","BGD","AIR BANGLA"
"Aviodetachment-28","","Bulgaria","BGF","BULGARIAN"
"Aero BG","","Mexico","BGG","AERO BG"
"Aerotaxis De La Bahia","","Mexico","BHC","BAHIA"
"Aviaservice","","Georgia","BIV","AVIASERVICE"
"Aerolíneas de El Salvador","defunct","El Salvador","SZA","AESA"
"Aerovaradero, S.A.","","Cuba","AVY","AEROVARADERO"
"Airways International, Inc.","","United States","AWB","AIRNAT"
"Airwork","","New Zealand","AWK","AIRWORK"
"Australian Wetleasing","","Australia","AWL","AUSSIEWORLD"
"Awood Air Ltd.","","Canada","AWO","AWOOD AIR"
"Arctic Wings And Rotors Ltd.","","Canada","AWR","ARCTIC WINGS"
"Auo Airclub AIST-M","","Russia","ISM","STORK"
"Arab Wings","","Jordan","AWS","ARAB WINGS"
"Airwave Transport, Inc.","","Canada","AWV","AIRWAVE"
"Aeroway, S.L.","","Spain","AWY","AEROWEE"
"Asian Express Airlines","","Australia","AXF","FREIGHTEXPRESS"
"Aeromexhaga","","Mexico","AXH","AEROMEXHAGA"
"Aeron International Airlines, Inc.","","United States","AXI","AIR FREIGHTER"
"African Express Airways","Former IATA code: QA; former ICAO code: AEK; former callsign: AFRICAN EXPRESS","Kenya","AXK","EXPRESS JET"
"AirAsia","ICAO code no longer allocated","Malaysia","AXM","RED CAP"
"AirAsia X","","Malaysia","XAX","XANADU"
"Alexandair","defunct","Greece","AXN","ALEXANDROS"
"Aeromax","","Spain","AXP","AEROMAX SPAIN"
"Action Airlines (Action Air Charter)","","United States","AXQ","ACTION AIR"
"Alberni Airways","","Canada","BNI","ALBERNI"
"Aerolíneas Bonanza","","Mexico","BNZ","AERO BONANZA"
"Aerobona","","Mexico","BOC","AEROBONA"
"Aboitiz Air","renamed to 2GO","Philippines","BOI","ABAIR"
"Axel Rent, S.A.","","Mexico","AXR","RENTAXEL"
"Altus Airlines","","United States","AXS","ALTUS"
"Aviaxess","","France","AXV","AXAVIA"
"Avioimpex A.D.p.o.","defunct","Macedonia","AXX","IMPEX"
"Axis Airways","defunct","France","AXY","AXIS"
"Aladia Airlines","defunct","Mexico","AYD","AIRLINES ALADIA"
"Aykavia Aircompany","ICAO code no longer allocated","Armenia","AYK",""
"Airman, S.L.","","Spain","AYM","AIRMAN"
"Atlantic Airlines","","United Kingdom","NPT","NEPTUNE"
"Atlantic Airlines","","Gabon","GBN","ATLANTIC GABON"
"Atlantic Airlines","","United States","BJK","BLACKJACK"
"Atlantic Airlines de Honduras","defunct","Honduras","HHA","ATLANTIC HONDURAS"
"Atlantic Airlines, S.A.","","Nicaragua","AYN","ATLANTIC NICARAGUA"
"Awsaj Aviation Services","ICAO code no longer allocated","Libya","AYS",""
"Ayeet Aviation & Tourism","","Israel","AYT","AYEET"
"Atlant-Soyuz Airlines","defunct","Russia","AYZ","ATLANT-SOYUZ"
"Alitalia","","Italy","AZA","ALITALIA"
"Azamat","defunct","Kazakhstan","AZB","TUMARA"
"Arcus-Air Logistic","","Germany","AZE","ARCUS AIR"
"Astra Airlines","","Greece","AZI","ASTRA"
"Azalhelikopter","","Azerbaijan","AZK","AZALHELICOPTER"
"Africa One","defunct","Zambia","AZL","SKY AFRICA"
"Aerocozumel","","Mexico","AZM","AEROCOZUMEL"
"Arizona Pacific Airways","","United States","AZP","ARIZONA PACIFIC"
"Aviacon Zitotrans Air Company","","Russia","AZS","ZITOTRANS"
"Azimut, S.A.","","Spain","AZT","AZIMUT"
"Azov Avia Airlines","defunct, Asov-Avia, Aircompany","Ukraine","AZV","AZOV AVIA"
"Aero Jomacha","","Mexico","MHC","AERO JOMACHA"
"AirAsia India","Founded 28. Mar 2013","India","IAD","ARIYA"
"Arizona Airways, Inc.","","United States","AZY","ARIZAIR"
"Azza Transport","","Sudan","AZZ","AZZA TRANSPORT"
"Air Continental Inc","","United States","NAR","NIGHT AIR"
"Antanik-Air","","Ukraine","NAU","ANTANIK"
"Air Newark","","United States","NER","NEWAIR"
"Aircraft Support and Services","ICAO code no longer allocated","Lebanon","NFF",""
"Aerobanana","","Mexico","OBA","AEROBANANA"
"Amako Airlines","","Nigeria","OBK","AMAKO AIR"
"Aserca Airlines","","Venezuela","OCA","AROSCA"
"Afrique CArgo Service Senegal","","Senegal","NFS",""
"Angoservice","","Angola","NGC","ANGOSERVICE"
"Angel Airlines","defunct, ICAO code no longer allocated","Thailand","NGE","ANGEL AIR"
"Angel Flight America","Renamed Air Charity Network in 2014","United States","NGF","ANGEL FLIGHT"
"Air Atonabee","defunct","Canada","OUL","CITY EXPRESS"
"Aero Nova","","Spain","OVA","AERONOVA"
"Amira Air","","Austria","XPE","EXPERT"
"Aero Express Intercontinental","","Mexico","XSS","INTER EXPRESS"
"Advance Aviation Services","","United States","XTJ",""
"Air Libya Tibesti","","Libya","TLR","AIR LIBYA"
"Aerovic","","Ecuador","OVC",""
"Airventure","","Belgium","RVE","AIRVENTURE"
"Aero Servicios","","Mexico","RVI","AERO SERVICIOS"
"Airvallee","","Italy","RVL","AIR VALLEE"
"Aeromover","","Mexico","OVE","AEROMOVER"
"Aerovías Ejecutivas","","Mexico","OVI","VIAS EJECUTIVAS"
"Aero Servicio Pity","","Mexico","PTD","PITY"
"Aero Copter","","Mexico","PTE","AERO-COP"
"Air Pal","Escuela De Pilots","Spain","PLL","AIRPAL"
"Air Pullmantur","","Spain","PLM","PULLMANTUR"
"Aviaexpress","defunct","Hungary","AEH","AVEX"
"Aviones Para Servirle","","Mexico","PSG","SERVIAVIONES"
"Avio Sluzba","","Serbia","SLU","AVIO SLUZBA"
"Air Scorpio","","Bulgaria","SCU","SCORPIO UNIVERS"
"Air Spirit","","United States","SIP","AIR SPIRIT"
"Alatau Airlines","","Kazakhstan","BMV","OLIGA"
"Aviateca","","Guatemala","GUG","AVIATECA"
"Aroostook Aviation","","United States","PXX","PINE STATE"
"Aeropycsa","","Mexico","PYC","AEROPYCSA"
"Association of Private Pilots of Kazakhstan","ICAO code no longer allocated","Kazakhstan","PVK","BORIS"
"Aero Services","","Barbados","BAS","AEROSERV"
"Ababeel Aviation","","Sudan","BBE","BABEL AIR"
"Air Bashkortostan","defunct","Russia","BBT","AGYDAL"
"Ambulance Air Africa","","South Africa","MCY","MERCY"
"American Eagle Airlines","Renamed Envoy Air, ICAO Code and Callsign withdrawn in 2014","United States","EGF","EAGLE FLIGHT"
"Aeropuelche","","Chile","PUE","PUELCHE"
"Aeroput","defunct","Serbia","PUT",""
"Azzurra Air","defunct","Italy","AZI","AZZURRA"
"Airshop","","Netherlands","",""
"African Transport Trading and Investment Company","","Sudan","ETC","TRANATTICO"
"AD Aviation","","United Kingdom","VUE","FLIGHTVUE"
"Aero Costa Taxi Aéreo","","Mexico","XCT","AEROCOSTAXI"
"Aerovitro","","Mexico","VRO","AEROVITRO"
"Aerotaxi Villa Rica","","Mexico","VRI","VILLARICA"
"Aerovega","","Mexico","VEG","AEROVEGA"
"Aerovilla","","Colombia","VVG","AEROVILLA"
"Aerolíneas Villaverde","","Mexico","VLR","VILLAVERDE"
"Aero Air","","United States","WIL","WILLIAMETTE"
"Aero Ejecutivos","","Venezuela","VEJ","VENEJECUTIV"
"Aero Industries Inc","","United States","WAB","WABASH"
"Aero Servicios Vanguardia","","Mexico","VNG","VANGUARDIA"
"Aero Taxi Los Valles","","Spain","VAD","VALLES"
"Aero Vilamoura","ICAO code no longer allocated","Portugal","VMR","AERO VILAMOURA"
"Aero Virel","","Mexico","VLS","VIREL"
"Aeronautical Radio Inc","","United States","XAA",""
"Aerovuelox","","Mexico","VUO","AEROVUELOX"
"Aeronaves TSM","","Mexico","VTM","AERONAVES TSM"
"Air Ivoire","defunct","Ivory Coast","VUN","AIRIVOIRE"
"Air Botswana","","Botswana","BOT","BOTSWANA"
"Air-Rep","","United States","XPR",""
"Air Excel","","Tanzania","XLL","TINGA-TINGA"
"Air Evans","Ecuela de Pilotos Privados","Spain","VAE","AIR-EVANS"
"Air Sorel","","Canada","WHY","AIR SOREL"
"Air Net Private Charter","","United States","WDR","WIND RIDER"
"Air Executive Charter","","Germany","XEC",""
"Air Foyle","defunct, ICAO code no longer allocated","United Kingdom","UPA","FOYLE"
"Air Midwest (Nigeria)","","Nigeria","VTY","VICTORY"
"Air Tahiti","","French Polynesia","VTA","AIR TAHITI"
"Air Urga","","Ukraine","URG","URGA"
"Air Vardar","","Macedonia","VDR","VARDAR"
"Air VIA","","Bulgaria","VIM",""
"Air Walser","","Italy","WLR","AIRWALSER"
"Aircompany Rosavia","","Ukraine","URA","ROSAVIA"
"Aircraft Performance Group","","United States","XLB",""
"Airwaves Airlink","","Zambia","WLA","AIRLIMITED"
"Airways Corporation of New Zealand","","New Zealand","XFX","AIRCORP"
"Airways","","France","WAY","GARONNE"
"Airwings oy","","Finland","WGS","AIRWINGS"
"Airkenya","","Kenya","XAK","SUNEXPRESS"
"Air-Lift Associates","","United States","WPK","WOLFPACK"
"Airtrans Ltd","","Russia","VAB",""
"ARP 410 Airlines","","Ukraine","URP","AIR-ARP"
"Auckland Regional Rescue Helicopter Trust","","New Zealand","WPR","WESTPAC RESCUE"
"Aurora Airlines","defunct, ICAO code no longer allocated","Slovenia","URR","AIR AURORA"
"Austro Aéreo","","Ecuador","UST","AUSTRO AEREO"
"Aviation Partners","","United States","WLT","WINGLET"
"Avialift Vladivostok","","Russia","VLV","VLADLIFT"
"Aviación Comercial de América","","Mexico","VME","AVIAMERICA"
"Aviast Air","defunct","Russia","VVA","IALSI"
"Aviation North","","United States","WLV","WOLVERINE"
"Africa West","","Togo","WTA","WEST TOGO"
"Avient Air Zambia","","Zambia","VNT","AVIENT"
"Aviazur","","France","VZR","IAZUR"
"Aviaprad","defunct","Russia","VID","AVIAPRAD"
"Avirex","","Gabon","VXG","AVIREX-GABON"
"Aviaexpress Aircompany","","Ukraine","VXX","EXPRESSAVIA"
"AMR Services Corporation","","United States","XAM","ALLIANCE"
"Airline Operations Services","","United States","XAO",""
"Airlines 400","","Russia","VAZ","REMONT AIR"
"ATRAN Cargo Airlines","","Russian Federation","VAS","ATRAN"
"Ameravia","","Uruguay","VAM","AMERAVIA"
"Angkor Air","","Cambodia","KHV","AIR ANGKOR"
"AVB-2004 Ltd","","Bulgaria","VBC","AIR VICTOR"
"ASECNA","","France","XKX",""
"AT and T Aviation Division","","United States","XAT",""
"Avalair","","Serbia","VAI","AIR AVALAIR"
"Averitt Air Charter","","United States","VRT","AVERITT"
"Avensa","defunct","Venezuela","AVE","AVENSA"
"Avolar Aerolíneas","defunct","Mexico","VLI","AEROVOLAR"
