"Declining stem","English derivatives","Citation form","Meaning"
"miracul-","admirable, admire, admiration, miracle, miraculous, mirative, mirativity","†miraculum",""
"miser-","commiserate, commiseration, miser, miserable, misery","miser",""
"mod-","accommodate, accommodation, bimodal, commode, commodity, demodulation, immodest, intermodal, modal, modality, mode, modern, modernity, modest, modesty, modicum, modification, modify, modular, modularity, modulate, modulation, modulator, module, modulo, modulus, multimodal, postmodern, postmodernity, ultramodern","modus",""
"modul-","accommodate, accommodation, bimodal, commode, commodity, demodulation, immodest, intermodal, modal, modality, mode, modern, modernity, modest, modesty, modicum, modification, modify, modular, modularity, modulate, modulation, modulator, module, modulo, modulus, multimodal, postmodern, postmodernity, ultramodern","†modulus",""
"mol-","bimolecular, demolition, mole, molecule","moles","mass"
"moll-","emollient, mollient, mollify, mollitude, mollusc, molluscicide, molluscivore, mollusk","mollis","soft"
"mont-","cismontane, dismount, montage, montane, monticello, monticule, montiform, montigenous, mount, piedmont, submontane, surmount, tramontane, transmontane, ultramontane","mons","mountain"
"monticell-","cismontane, dismount, montage, montane, monticello, monticule, montiform, montigenous, mount, piedmont, submontane, surmount, tramontane, transmontane, ultramontane","†monticellus","mountain"
"monticul-","cismontane, dismount, montage, montane, monticello, monticule, montiform, montigenous, mount, piedmont, submontane, surmount, tramontane, transmontane, ultramontane","†monticulus","mountain"
"mor-","demur, demure, demurrage, demurral, moratorium","mora","delay"
"morb-","morbid, morbidity","morbus","sickness"
"mort-","immortal, immortality, mortal, mortality, mortician, rigor mortis","mors","death"
"mort-","mortgage, mortuary, morgue, postmortem","mortuus","dead"
"mōr-","immoral, immorality, moral, morale, morality, mores, morigerous, morose, morosity","mōs","custom"
"mucrōn-","mucronate, mucronulate, mucronule","mucrō",""
"muci-","mucic, muciferous, muciform, mucigel, mucilage, mucilaginous, mucivore, mucosa, mucous, muculent, submucosa","mucus",""
"muli-","muliebrity, mulierose","mulier","woman"
"mult-","mulct","multa, mulcta","penalty"
"mult- • plūr- • plūrim-","multiplex, multiplicity, multitude • nonplus, plural, plurality, pluriform, plus, surplus • plurimal","multus • plūs • plūrimus","many • more • most"
"mūl-","mular","mūlus","mule"
"mund-","antemundane, demimondaine, demimonde, extramundane, intramundane, mondain, mondaine, mondial, mondo, mundane, mundanity, ultramundane","mundus","world"
"mūric-","murex, muricate, muriculate","mūrex",""
"muri-","muriate, muriatic","muria","brine"
"murmur-","murmur, murmuration, murmurous","murmur",""
"mūr-","antemural, intramural, murage, mural","mūrus, moerus","wall"
"mūr-","intermuscular, murine, muscular, muscularity, musculature","mūs","mouse"
"mūscul-","intermuscular, murine, muscular, muscularity, musculature","†mūsculus","mouse"
"musc-","Musca, muscarine, Muscicapa, Muscidae, musciform, mosquito","musca","fly"
"mūsc-","","mūscus","moss"
"must-","must","mustus","new"
"mutil-","mutilate, mutilation, mutilous","mutilus",""
"mūtul-","intermutule, modillion, mutular, mutule","mūtulus","modillion"
"mūt-","mute","mūtus",""
"nāp-","neep","nāpus","turnip"
"nār-","internarial, nares, narial, prenarial","nāris","nostril"
"nās-","intranasal, nasal, nasalance, nasality, nonnasal","nāsus","nose"
"nāv-","antenave, naval, nave, navicular, navigable, navigate, navy, nonnavigable","nāvis","ship"
"nāvicell-","antenave, naval, nave, navicular, navigable, navigate, navy, nonnavigable","†nāvicella","ship"
"navicul-","antenave, naval, nave, navicular, navigable, navigate, navy, nonnavigable","†nāvicula","ship"
"nebul-","nebula, nebular, nebulous","nebula",""
"necess-","necessary, necessitarian, necessitate, necessitude, necessity, nonnecessity","necesse",""
"nepōt-","grandnephew, nephew, nepoticide","nepōs",""
"nerv-","innervate, nerval, nervate, nerve, nervose, nervosity, trinervate","nervus",""
"neutr-","neutral, neutrality, nonneutrality","neuter","neither"
"nīdor-","nidor, nidorose","nīdor",""
"nīd-","denidation, niche, nidicolous, nidificate, nidification, nidifugous, nidulant, nidulate","nīdus","nest"
"nidul-","denidation, niche, nidicolous, nidificate, nidification, nidifugous, nidulant, nidulate","†nidulus","nest"
"nigr-","denigrate, denigration, denigrative, denigrator, negrita, nigrities, negrito, negritude, nigrescence, nigrescent, nigrine, nigritude","niger","black"
"nihil-","annihilate, annihilation, annihilator, nihil, nil","nihil","nothing"
"nod-","acnode, crunode, denouement, internodal, internode, nodal, node, nodose, nodosity, nodular, nodule, nodulose, tacnode","nodus","knot"
"nodul-","acnode, crunode, denouement, internodal, internode, nodal, node, nodose, nodosity, nodular, nodule, nodulose, tacnode","†nodulus","knot"
"nomin-","agnomen, agnominal, agnomination, binomen, binominal, denomination, denominational, denominative, denominator, ignominious, ignominy, interdenominational, multidenominational, multinominal, nominal, nomination, nominative, nominator, nominee, nondenominational, noun, postnominal, praenomen, prenominal, pronominal, pronoun, redenomination, renown, surnominal, trinomen, trinominal","nomen","name"
"nonagen-","nonagenarian, nonagenary","nonageni","ninety each"
"nonagesim-","nonagesimal","nonagesimus","ninetieth"
"non-","nonary, None, noon","nōnus","ninth"
"norm-","abnormal, abnormality, denormal, enormity, enormous, nonnormal, nonnormative, norm, normal, normality, normative, seminorm, seminormal, subnormal","norma","carpenter's square"
"nostr-","nostrum","noster","our"
"novem-","November, novennial","novem","nine"
"novemdec-","novemdecillion","novemdecim","nineteen"
"noven-","Novena, novenary","noveni","nine each"
"nov-","innovation, innovative, innovator, novel, novella, novelty, novice, novitiate, renovate, renovation, renovative, supernova","novus","new"
"novell-","innovation, innovative, innovator, novel, novella, novelty, novice, novitiate, renovate, renovation, renovative, supernova","†novellus","new"
"noct-","equinoctial, equinox, nocturn, nocturnal, nocturnality, nocturne, notturno, trinoctial","nox","night"
"nūb-","enubilate, enubilous, nuance, nubilose, nubilous, obnubilate","nūbēs","cloud"
"nud-","denudation, denude, nonnude, nude, nudity, seminude, seminudity","nudus","naked"
"nug-","nugacious, nugacity, nugatory","nugae",""
"nūmin-","numen, numinous","nūmen","nod"
"numer-","denumerable, enumerable, enumerate, enumeration, enumerative, enumerator, equinumerant, equinumerous, innumerable, innumeracy, innumerate, innumerous, nonenumerative, numerable, numeracy, numeral, numerary, numerate, numeration, numerative, numerator, numerical, numero, numerosity, numerous, renumerate, supernumerary","numerus","number"
"nuc-","enucleate, enucleation, extranuclear, internuclear, intranuclear, nucament, nucellus, nucifer, nuciferine, nuciferous, nuciform, Nucifraga, nucivorous, nuclear, nucleate, nucleation, nucleus, nucleolar, nucleolate, nucleolus","nux","nut"
"nucul-","enucleate, enucleation, extranuclear, internuclear, intranuclear, nucament, nucellus, nucifer, nuciferine, nuciferous, nuciform, Nucifraga, nucivorous, nuclear, nucleate, nucleation, nucleus, nucleolar, nucleolate, nucleolus","†nucula","nut"
"octav-","octaval, octave, octavo","octāvus","eighth"
"oct-","octal, octangular, octavalent, octennial, October, octofid, octuple, octuplet, octuplicate","octō","eight"
"octodecim-","octodecillion, octodecimo","octōdecim","eighteen"
"octogen-","octogenarian, octogenary","octogeni","eighty each"
"octogesim-","octogesimal","octōgēsimus","eightieth"
"octon-","octonary, octonion","octōni","eight each"
"ocul-","binocular, circumocular, inoculation, intraocular, inveigle, ocular, oculus","oculus","eye"
"ocell-","binocular, circumocular, inoculation, intraocular, inveigle, ocular, oculus","†ocellus","eye"
"odi-","annoy, ennui, odious, odium","odium","hatred"
"odor-","deodorant, malodor, malodorous, odoriferous, odorous","odor",""
"ole-","oleose, oleosity, oleum","oleum","oil"
"omin-","abominable, abomination, omen, ominous","omen",""
"omn-","omnibenevolence, omniform, omnipotence, omnipresence, omniscience, omnivore","omnis","all"
"oner-","exonerate, exoneration, onerous, onus","onus","burden, load"
"opac-","opacity, opaque","opacus","shady"
"op-","copious, inopulent, opulence, opulent","ops",""
"oper-","chef-d'oeuvre, cooperate, cooperation, cooperative, hors d'oeuvre, inoperable, interoperability, interoperable, inure, inurement, manoeuvre, oeuvre, opera, operability, operable, operand, operant, operate, operation, operational, operative, operator, operose, operosity, opus, opuscule, postoperative, preoperative","opus","work"
"opuscul-","chef-d'oeuvre, cooperate, cooperation, cooperative, hors d'oeuvre, inoperable, interoperability, interoperable, inure, inurement, manoeuvre, oeuvre, opera, operability, operable, operand, operant, operate, operation, operational, operative, operator, operose, operosity, opus, opuscule, postoperative, preoperative","†opusculum","work"
"orb-","deorbit, orb, orbicle, orbicular, orbiculate, orbit, orbital, postorbital, suborbital, superorbital","orbis","ring"
"orbicul-","deorbit, orb, orbicle, orbicular, orbiculate, orbit, orbital, postorbital, suborbital, superorbital","†orbiculus","ring"
"ordin-","coordinal, coordinate, coordination, disorder, extraordinary, incoordinate, incoordination, infraorder, inordinate, inordination, insubordinate, insubordination, ordain, ordainment, order, ordinal, ordinance, ordinary, ordinate, ordination, ordinative, ordnance, ornery, parvorder, preordain, preorder, preordination, quasiorder, reordain, reorder, reordination, suborder, subordinate, subordination, superordain, superorder, superordinate, superordination","ordo","order"
"or-","adorable, adoral, adoration, adore, adosculation, exorable, inexorable, inosculate, inosculation, interosculate, intraoral, oral, oration, orator, oratorio, oratory, orifice, oscitate, oscitation, osculant, oscular, oscularity, osculate, osculation, osculator, osculatory, osculatrix, oscule, osculum","os","mouth"
"oscul-","adorable, adoral, adoration, adore, adosculation, exorable, inexorable, inosculate, inosculation, interosculate, intraoral, oral, oration, orator, oratorio, oratory, orifice, oscitate, oscitation, osculant, oscular, oscularity, osculate, osculation, osculator, osculatory, osculatrix, oscule, osculum","†osculum","mouth"
"oss-","exossation, interosseous, osseous, ossicle, ossicular, ossiferous, ossification, ossifrage, ossify, ossuary","os","bone"
"ossicul-","exossation, interosseous, osseous, ossicle, ossicular, ossiferous, ossification, ossifrage, ossify, ossuary","†ossiculum","bone"
"ōscin-","oscine","ōscen","songbird"
"osti-","ostiary, ostiolar, ostiole, ostium","ostium",""
"ostiol-","ostiary, ostiolar, ostiole, ostium","†ostiolum",""
"oti-","negotiable, negotiate, negotiation, nonnegotiable, otiose, otiosity, renegotiate, renegotiation","otium","leisure"
"ov-","ovile, ovine","ovis","sheep"
"ovicul-","ovile, ovine","†ovicula","sheep"
"ov-","oval, ovarian, ovary, ovicapsule, ovicidal, ovicide, oviduct, oviferous, oviform, oviposition, ovipositor, ovolo, ovular, ovulation, ovulatory, ovule, ovum, pluriovulate","ovum","egg"
"ovul-","oval, ovarian, ovary, ovicapsule, ovicidal, ovicide, oviduct, oviferous, oviform, oviposition, ovipositor, ovolo, ovular, ovulation, ovulatory, ovule, ovum, pluriovulate","†ovulum","egg"
"pag-","pagan, paisano, peasant, peasantry","pagus",""
"pal-","palette","pala","spade"
"palat-","impalatable, palatability, palatable, palatal, palate","palatum","roof of the mouth"
"pall-","circumpallial, pall, pallial, palliate, palliative, pallium","palla",""
"pāl-","impale, impalement, pale, palisade, pole, travail","pālus","stake"
"palūd-","paludose","pălus","marsh"
"palustr-","palustral, palustrine","paluster",""
"pan-","accompaniment, accompany, appanage, companion, company, empanada, impanate, pannier, pantry","panis","bread"
"pann-","empanel, impanel, pane, panel, repanel, subpanel","pannus",""
"pan-","panicle","panus",""
"panicul-","panicle","†panicula",""
"papaver-","papaveraceous, papaverine","papaver","poppy"
"papilion-","pavilion","papilio","butterfly"
"par-","comparative, comparator, disparage, disparagement, disparity, impar, imparity, nonpareil, pair, par, parile, parity, peer, peerage, subpar, umpire","par","equal"
"parc-","parcity","parcus",""
"pariet-","biparietal, parietal","paries","wall"
"part- -pert-","apart, apartment, apportion, apportionment, bipartient, bipartisan, bipartite, bipartition, champerty, compart, compartition, compartment, compartmental, coparcenary, coparcener, counterpart, counterparty, depart, department, departmental, departure, dispart, disproportionate, equipartition, ex parte, impart, impartial, intraparty, jeopardous, jeopardy, multipartite, nonpartisan, parcel, parcenary, parcener, parse, partial, partiality, participate, participle, particle, particular, particularity, particulate, partisan, partita, partite, partition, partitive, partner, party, passel, portion, proportion, proportional, proportionality, purpart, purparty, quadripartite, reapportion, reapportionment, repartee, repartition, superparticular, tripartient, tripartite, unipartite","pars","piece"
"particell-","apart, apartment, apportion, apportionment, bipartient, bipartisan, bipartite, bipartition, champerty, compart, compartition, compartment, compartmental, coparcenary, coparcener, counterpart, counterparty, depart, department, departmental, departure, dispart, disproportionate, equipartition, ex parte, impart, impartial, intraparty, jeopardous, jeopardy, multipartite, nonpartisan, parcel, parcenary, parcener, parse, partial, partiality, participate, participle, particle, particular, particularity, particulate, partisan, partita, partite, partition, partitive, partner, party, passel, portion, proportion, proportional, proportionality, purpart, purparty, quadripartite, reapportion, reapportionment, repartee, repartition, superparticular, tripartient, tripartite, unipartite","†particella","piece"
"particul-","apart, apartment, apportion, apportionment, bipartient, bipartisan, bipartite, bipartition, champerty, compart, compartition, compartment, compartmental, coparcenary, coparcener, counterpart, counterparty, depart, department, departmental, departure, dispart, disproportionate, equipartition, ex parte, impart, impartial, intraparty, jeopardous, jeopardy, multipartite, nonpartisan, parcel, parcenary, parcener, parse, partial, partiality, participate, participle, particle, particular, particularity, particulate, partisan, partita, partite, partition, partitive, partner, party, passel, portion, proportion, proportional, proportionality, purpart, purparty, quadripartite, reapportion, reapportionment, repartee, repartition, superparticular, tripartient, tripartite, unipartite","†particula","piece"
"parv- • min- • minim-","parvifoliate, parvity, parvovirus • administer, administration, administrative, administrator, administratrix, maladminister, minister, ministerial, ministrant, ministrative, ministry, minor, minority, minstrel, minstrelsy, minus, minuscule, semiminor • minim, minimal, minimum","parvus • minor • minimus","small • less • least"
"passer-","passerine","passer","sparrow"
"pass-","compass, encompass, pace, passage, passant, passement, passementerie, passenger","passus",""
"patr-","Jupiter, paternal, paternity, patrician, patrilineal, patrilocal, patrilocality, patrimonial, patrimony, patron, patronage, perpetrate, repatriation","pater","father"
"pauc-","paucal, pauciloquent, paucity, poco","paucus","few"
"pauper-","impoverish, impoverishment, pauperage, poor, poverty","pauper",""
"paus- pos-","compose, composure, counterpose, counterproposal, disposable, disposal, dispose, disposure, exposal, expose, exposé, exposure, imposable, impose, imposure, interposal, interpose, multipurpose, opposable, opposal, oppose, posada, pose, poseur, poseuse, predispose, proposal, propose, purpose, reimpose, reposal, repose, repurpose, supposal, suppose, transposable, transposal, transpose","pausa",""
"pavon-","pavone, pavonine","pavo","peacock"
"pac-","appease, appeasement, copayment, pacific, pacify, pay, payment, repay, repayment","pax","peace"
"pector-","pectoral","pectus","chest"
"pecu-","impecunious, peculiar, pecuniary","pecu",""
"penn-","pen, pennage, pennate, penniform, pennigerous, pennon","penna","feather"
"perc-","Perca, Percidae, perciform, percoid, Percoidea","perca","perch"
"person-","impersonate, impersonation, impersonator, person, personable, personage, personal, personality, personification, subpersonality, transpersonal","persona","person"
"ped-","biped, bipedal, expedient, expedite, expedition, impeach, impeachment, impediment, inexpedient, oppidum, pawn, pedal, pedestal, pedestrian, pedicel, pedicle, pedicure, pediform, pedigerous, pedigree, peon, peonage, piedfort, piedmont, pioneer, quadruped, quadrupedal, tripedal","pēs","foot"
"pedicul-","biped, bipedal, expedient, expedite, expedition, impeach, impeachment, impediment, inexpedient, oppidum, pawn, pedal, pedestal, pedestrian, pedicel, pedicle, pedicure, pediform, pedigerous, pedigree, peon, peonage, piedfort, piedmont, pioneer, quadruped, quadrupedal, tripedal","†pediculus","foot"
"pest-","pesticide, pestiferous, pestilence","pestis","pest"
"pil-","pellet, pelota, peloton, pill","pila","ball"
"pilul-","pellet, pelota, peloton, pill","†pilula","ball"
"pile-","Pilea, pileate, pileum, pileus","pileus","cap"
"pil-","depilation, depilatory, epilation, piliferous, piliform, pilose, pilosity","pilus","hair"
"pinn-","panache, pinnacle, pinnal, pinnate, pinniform, pinniped","pinna","feather"
"pinnacul-","panache, pinnacle, pinnal, pinnate, pinniform, pinniped","†pinnaculum","feather"
"pin-","pine, pineal","pinus",""
"pir-","piriform","pirus","pear"
"pisc-","pisces, pisciform, piscine, piscivore","piscis","fish"
"pi-","piety, pious, pittance, pity","pius","dutiful"
"pic-","Picea, picene, piceous, pitch","pix",""
"planc-","planch","planca","plank"
"plant-","implant, implantable, implantation, plant, plantar, plantation, plantigrade, supplant, supplantation, transplant, transplantation","planta","sole"
"plan-","applanate, applanation, complanar, complanate, coplanar, coplanarity, esplanade, explain, explanation, explanatory, piano, pianoforte, plain, plaintext, planar, planary, planate, planation, plane","planus","flat"
"plate-","displace, displacement, emplacement, piazza, placement, plaza, replace, replacement, transplace","platea","place"
"pleb-","plebeian, plebiscite, plebs","plēbs","common people"
"plen-","plenary, plenipotent, plenipotentiary, plenish, plenishment, plenitude, plenitudinous, plenum","plenus","full"
"plūm-","deplumation, deplume, displume, plumage, plume, plumose, plumosity, plumulaceous, plumular, plumule, plumulose, semiplume, superplume","plūma","feather"
"plūmul-","deplumation, deplume, displume, plumage, plume, plumose, plumosity, plumulaceous, plumular, plumule, plumulose, semiplume, superplume","†plūmula","feather"
"plumb-","plumb, plumbaginous, plumbago, plumbeous, plummet, plunge, replumb","plumbum","lead"
"pluvi-","compluvium, displuviate, impluvium, plover, pluvial, pluviosity","pluvia","rain"
"pōcul-","poculent, poculiform","pōculum","cup"
"pōcill-","poculent, poculiform","†pōcillum","cup"
"pollin-","polenta, pollen, pollinate, pollination, pollinator, polliniferous","pollen",""
"pollic-","pollex, pollical, pollicate, prepollex","pollex","thumb"
"ponder-","imponderable, ponder, ponderable, ponderance, ponderation, ponderosa, ponderosity, ponderous, pound, preponderance, preponderate","pondus","weight"
"pont-","pons, pontage, pontic, pontile, pontine, pontonier, pontoon, punt","pons","bridge"
"porc-","porcine, porcupine, pork","porca, porcus","pig"
"port-","anteporch, anteport, anteportico, porch, portal, portcullis, portico, portière","porta","gate"
"portul-","anteporch, anteport, anteportico, porch, portal, portcullis, portico, portière","†portula","gate"
"port-","importune, importunity, opportune, opportunity, port","portus",""
"poster- • posterior- • postrem-","posterity • a posteriori, posterior, posteriority • postremogeniture","posterus • posterior • postremus","• •"
"pot-","compossible, idempotence, idempotent, impossible, impotence, impotency, impotent, nilpotence, nilpotent, posse, possible, potence, potency, potent, potentate, potential, potentiality, puissance, puissant, subpotency, superpotency, superpotential, unipotent","potis",""
"prandi-","prandial, preprandial","prandium","lunch"
"prav-","depravity","pravus","crooked"
"preti-","appreciate, appreciation, depreciation, precious","pretium","price"
"prec-","preces","prex","prayer"
"prior- • prīm-","a priori, prior, priority, priory, subprior • prima facie, primacy, primal, primary, primate, prime, primer, primine, primitive, primogeniture, primordial, primrose, Primula, subprimal, subprime","prior • prīmus","former • first"
"priv-","privacy, private, privy","privus","own"
"probr-","opprobrium","probrum",""
"prob-","approbation, approval, approve, improbability, improbable, probability, probable, proband, probate, probation, probationary, probative, probity, reprobate, reproval","probus",""
"prop- • propior- • proxim-","propinquity, propitiation, propitiatory, propitious • approach, rapprochement, reproach • proximal, proximate, proximity","prope • propior • proximus","near, nigh • nearer • nearest"
"propri-","appropriate, appropriation, impropriety, inappropriate, propriety","proprius","proper"
"prun-","prune","prunus","plum"
"public-","public, publican, publication, publicity","publicus",""
"puer-","puerile, puerility, puerperant","puer","boy"
"pulchr-","pulchritude, pulchritudinous","pulcher","beautiful"
"pull-","poultry, pullet, pullorum, pullulate, pullulation, repullulate, repullulation","pullus",""
"pullul-","poultry, pullet, pullorum, pullulate, pullulation, repullulate, repullulation","†pullulus",""
"pulmon-","extrapulmonary, intrapulmonary, pulmonary","pulmo","lung"
"pulvin-","pulvilli, pulvinar, pulvinated, pulvinus","pulvinus","cushion, pillow"
"pulver-","pulverize, pulverulence, pulverulent","pulvis","dust, powder"
"pumic-","pumicate, pumice, pumiceous, pumiciform, pumicite","pumex","pumice stone"
"pup-","pupae, pupal, puparium, pupation, pupil","pupa","doll"
"pur-","depurate, depuration, impure, impurity, pure, purification, purity","purus","pure"
"pur-","purulence, purulent","pus","pus"
"quadragen-","quadragenarian, quadragenary","quadrageni","forty each"
"quadrāgēsim-","Quadragesima, quadragesimal","quadrāgēsimus","fortieth"
"quadrāgint-","quarantine","quadrāgintā","forty"
"quadrin-","carillon, carillonneur, quadrin","quadrini","four each"
"quadr-","biquadrate, biquadratic, cadre, conquadrate, escadrille, intrasquad, quadrance, quadrate, quadratic, quadratrix, quadrature, quadrel, quadric, quadrille, quarry, squad, squadron, squarable, square, subsquadron","quadrum, quadrus","square"
"quadrell-","biquadrate, biquadratic, cadre, conquadrate, escadrille, intrasquad, quadrance, quadrate, quadratic, quadratrix, quadrature, quadrel, quadric, quadrille, quarry, squad, squadron, squarable, square, subsquadron","†quadrellus","square"
"quart-","inquartation, interquartile, quadroon, quart, quartal, quartan, quartary, quarter, quartet, quartic, quartile, quartine, quarto, semiquartile","quartus","fourth"
"quatern-","biquaternion, quatern, quaternary, quaternate, quaternion, quaternity, quire","quaternī","four each"
"quadr-","quadrangle, quadrennial, quadriceps, quadrifarious, quadrifid, quadrifolium, quadrifrons, quadrilateral, quadrilingual, quadriliteral, quadrillion, quadrinational, quadrinodal, quadrinomial, quadrinominal, quadripara, quadrireme, quadrisection, quadrivalent, quadrivium, quadruped, quadruple, quadruplet, quadruplex, quadruplicate, quatrain, quatre, quatrefoil","quattuor","four"
"quattuordecim-","quatorzain, quatorze, quattuordecillion","quattuordecim","fourteen"
"quiēt-","acquiesce, acquiescence, acquiescent, acquit, acquittal, acquittance, inquietude, quiescence, quiescent, quiet, quietude, quietus, quit, requiem, requiescat, requital, requite, requitement","quiēs","rest"
"quīndecim-","quindecennial, quindecillion, quindecimal, quindecimvir, quinzaine, quinze","quīndecim","fifteen"
"quīn-","biquinary, quinarius, quinary, quinate","quīnī","five each"
"quint-","biquintile, quint, quinta, quintal, quintan, quintant, quinte, quintessence, quintessential, quintic, quintile, quintipara, quintus, semiquintile","quintus","fifth"
"radi-","biradial, circumradius, interradial, irradiance, irradiate, irradiation, multiradial, nonradiative, nonradioactive, radial, radian, radiance, radiant, radiation, radiator, radio, radioactive, radioactivity, radius, raion, ray, semiradial, transradial","radius","ray, spoke"
"rādīc-","biradical, deracinate, deracination, eradicable, eradicate, radical, radicand, radicant, radicate, radicel, radicle, radicular, radicule, radiculose, radish, ultraradical","rādīx","root"
"radicul-","biradical, deracinate, deracination, eradicable, eradicate, radical, radicand, radicant, radicate, radicel, radicle, radicular, radicule, radiculose, radish, ultraradical","†radicula","root"
"rām-","biramous, ramada, ramage, ramal, ramate, ramification, ramiform, ramon, ramose, ramosity, ramulose, ramulus, ramus, ramuscule, uniramous","rāmus","branch"
"rāmul-","biramous, ramada, ramage, ramal, ramate, ramification, ramiform, ramon, ramose, ramosity, ramulose, ramulus, ramus, ramuscule, uniramous","†rāmulus","branch"
"rān-","ranula, ranunculaceous, ranunculus","rāna","frog"
"rānul-","ranula, ranunculaceous, ranunculus","†rānula","frog"
"rānuncul-","ranula, ranunculaceous, ranunculus","†rānunculus","frog"
"rāp-","rape, ravioli","rāpa, rāpum","turnip"
"rāpul-","rape, ravioli","†rāpulum","turnip"
"rem-","bireme, quadrireme, quinquereme, remex, remiform, remiges, remigial, remiped, sexireme, trireme","remus","oar"
"ren-","adrenal, renal, reniform","rēn","kidney"
"re-","irrealis, real, reality, surreal","res","thing"
"ret-","reticle, reticular, reticulate, reticulation, reticule, retiform, retina","rete","net"
"reticul-","reticle, reticular, reticulate, reticulation, reticule, retiform, retina","†reticulum","net"
"rēg-","interregnum, regal, regalia, regality, regency, regent, regious, reguline, reign, royal, viceroy","rēx","king"
"regul-","interregnum, regal, regalia, regality, regency, regent, regious, reguline, reign, royal, viceroy","†regulus","king"
"rip-","riparian,river,derive","ripa","bank"
"rit-","ritual","ritus","rite"
"riv-","derivation, derivative, derive, rival, rivality, rivalry, rivose, rivulet","rivus","brook"
"ros-","rosaceous, rosary, rosulate","rosa","rose"
"rosul-","rosaceous, rosary, rosulate","†rosula","rose"
"rōstr-","brevirostrate, curvirostral, lamellirostral, rostellate, rostelliform, rostellum, rostral, rostrate, rostriform, rostrulum, rostrum","rōstrum","beak, prow"
"rostell-","brevirostrate, curvirostral, lamellirostral, rostellate, rostelliform, rostellum, rostral, rostrate, rostriform, rostrulum, rostrum","†rostellum","beak, prow"
"rostrul-","brevirostrate, curvirostral, lamellirostral, rostellate, rostelliform, rostellum, rostral, rostrate, rostriform, rostrulum, rostrum","†rostrulum","beak, prow"
"rot-","circumrotation, contrarotation, rondeau, rondel, rondo, rotary, rotation, rotational, rotelle, rotifer, Rotifera, rotiferous, rotiform, rotula, rotund, rotunda, rotundifolious, rotundity, roulette, round, roundel, rowel","rota","wheel"
"rotell-","circumrotation, contrarotation, rondeau, rondel, rondo, rotary, rotation, rotational, rotelle, rotifer, Rotifera, rotiferous, rotiform, rotula, rotund, rotunda, rotundifolious, rotundity, roulette, round, roundel, rowel","†rotella","wheel"
"rotul-","circumrotation, contrarotation, rondeau, rondel, rondo, rotary, rotation, rotational, rotelle, rotifer, Rotifera, rotiferous, rotiform, rotula, rotund, rotunda, rotundifolious, rotundity, roulette, round, roundel, rowel","†rotula","wheel"
"rubr-","erubescent, rubric","ruber","red"
"rūd-","erudite, erudition, rudiment, rudimentary","rūdis","rude"
"rug-","corrugate, corrugation, erugate, rugose","ruga","wrinkle"
"rumin-","rumen, rumenic acid, ruminal, ruminant, ruminate, rumination, ruminator","rumen",""
"rūr-","rural, rustic","rūs","countryside, farm"
"sacr- -secr-","consecrate, consecration, deconsecration, desecration, desecrator, execrable, execrate, execration, inexecrable, obsecrate, reconsecrate, sacrament, sacrifice, sacrificial, sacrilege, sacrilegious, sacristy, sacrosanct, saint, sanctimony, sanction, Sanctus, Tersanctus","sacer","sacred"
"saecul-","nonsecular, secular, secularity","saeculum",""
"saep-","septal, septarium, septate, septiform, septifragal, septulate, septulum, septum, transept, transeptal, uniseptate","saepēs","hedge"
"saet-","searce, seta, setaceous, setal, setaria, setiferous, setiform, setigerous, setireme, setose","saeta, sēta","bristle"
"saetul-","searce, seta, setaceous, setal, setaria, setiferous, setiform, setigerous, setireme, setose","†saetula","bristle"
"sagin-","saginate, sagination","sagina",""
"sal-","desalinate, desalination, salami, salary, saline, salinity, salsa, sauce, saucisson, sausage","sal","salt"
"sanguin-","consanguineous, sangfrois, sanguinaceous, sanguinary, sanguine","sanguis","blood"
"san-","insane, insanity, sanatorium, sane, sanity","sanus","sound"
"sax-","saxatile, saxicavous, saxicoline, saxifrage, saxifragous","saxum","rock"
"semin-","disseminate, insemination, semen, seminal, seminar, seminary","semen","seed"
"semi-","semiannual, semicolon, semiconductor, semiconscious, seminatural","semis","half"
"sen-","senate, senator, senile, senility, senior, seniority","senex","old man"
"sen-","senary","seni","six each"
"sept-","septangular, September, septemvir, septennial, septilateral, septinsular, septireme, septivalent, septuple, septuplet","septem","seven"
"septen-","septenary","septeni","seven each"
"septim-","septimal, septime","septimus","seventh"
"sex-","sexangular, sexavalent, sexennial, sexireme, sexradiate, sextain, sextuple, sextuplet","sex","six"
"sexagen-","sexagenarian, sexagenary","sexageni","sixty each"
"sexagesim-","sexagesimal","sexagesimus","sixtieth"
"sext-","bissextile, sestet, sestina, Sext, sextan, sextans, sextant, sextary, sextic, sextile","sextus","sixth"
"sibil-","silibance, sibilant, sibilation","sibilus","hiss"
"sicc-","desiccant, desiccation, siccation, siccative, siccific","siccus","dry"
"sider-","consider, considerable, considerate, consideration, desiderate, desideration, desiderative, desideratum, desideria, desire, inconsiderable, inconsiderate, sidereal","sidus","constellation"
"sign-","assign, assignation, assignment, consign, consignment, design, designation, ensign, insignia, insignificance, insignificant, reassign, reassignment, resign, resignation, sign, signal, signatory, signature, significance, significant, signum","signum","mark, sign"
"silv-","silvan, silviculture","silva","forest"
"simil-","assimilate, assimilation, similar, similarity, simile, similitude, verisimilitude","similis","like"
"sincer-","insincere, insincerity, sincere, sincerity","sincerus",""
"singul-","single, singularity, singulation, singulative","singulus","one each"
"sinistr-","sinister, sinistral","sinister","left"
